drug_name,disease_name,drug_id,disease_id,treat score,not treat score,unknown score
name_352,name_184,RTX:352,RTX:184,6.745709e-05,8.417036e-06,0.999924
name_427,name_184,RTX:427,RTX:184,0.00011074793,2.2208556e-05,0.99986714
name_273,name_184,RTX:273,RTX:184,0.0001621603,3.5402438e-05,0.9998024
name_372,name_184,RTX:372,RTX:184,0.00019726726,7.791546e-05,0.9997248
name_352,name_86,RTX:352,RTX:86,0.00028606152,2.4741537e-05,0.9996893
name_273,name_483,RTX:273,RTX:483,0.00018016012,0.00023496996,0.99958485
name_427,name_217,RTX:427,RTX:217,0.00034574492,9.9284654e-05,0.99955493
name_273,name_86,RTX:273,RTX:86,0.0004379108,2.1193266e-05,0.999541
name_372,name_483,RTX:372,RTX:483,0.00011803934,0.0003585895,0.9995234
name_386,name_184,RTX:386,RTX:184,0.00046398898,4.0475104e-05,0.9994955
